Organization,Categories,Location,FundingAmount,FundingType,EquityAmount,Status,Investors,Founded,Period,Quarter,investor_1,investor_2,investor_3,investor_4,investor_5,region_1,region_2,region_3
SEON - Fraud Prevention,"Computer, E-Commerce, Fraud Detection, Identity Management, Information Technology, Network Security, Security","Budapest, Budapest, Hungary",625145.0,Venture - Series Unknown,625145.0,,2.0,2017.0,2018-02,20181Q,Fiedler Capital, PortfoLion,,,,European Union (EU),,
Soteria,"Consulting, Security","Charleston, South Carolina, United States",2475300.0,Venture - Series Unknown,2475300.0,,,2014.0,2018-04,20182Q,,,,,,East Coast, Southern US,
Trustpair,"Cyber Security, SaaS, Software","Puteaux, Ile-de-France, France",1300228.0,Seed,1300228.0,Seed,5.0,2017.0,2018-05,20182Q,Axeleo, Damien Guermonprez, Eduardo Ronzano, Kima Ventures, Pierre Antoine Dusoulier,European Union (EU),,
aXpire,"Accounting, Blockchain, Compliance, Cryptocurrency, Finance, Information Services, Information Technology","New York, New York, United States",20000000.0,Initial Coin Offering,20000000.0,,,2017.0,2018-03,20181Q,,,,,,Greater New York Area, East Coast, Northeastern US
Scorum,"Blockchain, Cryptocurrency, Digital Media, Fantasy Sports, Media and Entertainment, Sports","Minsk, Minsk, Belarus",5630000.0,Initial Coin Offering,5630000.0,,,2017.0,2018-01,20181Q,,,,,,,,
Xriba,"Blockchain, Information Technology","London, England, United Kingdom",12600000.0,Initial Coin Offering,12600000.0,,,2018.0,2018-06,20182Q,,,,,,European Union (EU),,
Yours,"Bitcoin, Blockchain, Content, Cryptocurrency, Social Network","San Francisco, California, United States",1500000.0,Series A,1500000.0,Early Stage Venture,7.0,2016.0,2018-01,20181Q,Bitmain, Boost VC, Digital Currency Group, Digital Finance Group, nChain,San Francisco Bay Area, West Coast, Western US
True-Tickets,"B2B, Blockchain, Information Technology, PaaS, SaaS, Ticketing","Boston, Massachusetts, United States",750000.0,Seed,750000.0,Seed,,2017.0,2018-04,20182Q,,,,,,Greater Boston Area, East Coast, New England
Eligma,"Artificial Intelligence, Big Data, Blockchain, Machine Learning, Mobile Payments","Ljubljana, Ljubljana Urban Commune, Slovenia",11250740.0,Initial Coin Offering,11250740.0,,,2017.0,2018-03,20181Q,,,,,,European Union (EU),,
CertifID,"Computer, Network Security","Grand Rapids, Michigan, United States",1700000.0,Seed,1700000.0,Seed,1.0,2017.0,2018-02,20181Q,Wakestream Ventures,,,,,Great Lakes, Midwestern US,
SnowShoe Stamp,"Mobile, Security, Toys","San Francisco, California, United States",306286.0,Seed,306286.0,Seed,13.0,2010.0,2018-04,20182Q,Collaborative Fund, Lowercase Capital, Ludlow Ventures, Right Side Capital Management, Techstars,San Francisco Bay Area, West Coast, Western US
Qingteng Cloud Security,"Cloud Infrastructure, Cloud Management, Information Technology, SaaS, Security, Software","Beijing, Beijing, China",32000000.0,Series B,32000000.0,Early Stage Venture,4.0,2014.0,2018-02,20181Q,CBC Capital, Redpoint, Sequoia Capital China, ZhenFund,,Asia-Pacific (APAC),,
ONO Social,"Blockchain, Content, Social Media, Social Network","London, Ontario, Canada",16000000.0,Series A,16000000.0,Early Stage Venture,6.0,2017.0,2018-06,20182Q,China Growth Capital | CGC, Green Pine Capital Partners, INBlockchain, Korea Investment Partners, Purple Cow,Great Lakes,,
CREDITS,"Blockchain, Cryptocurrency, Developer Platform, IT Infrastructure","Singapore, Central Region, Singapore",20000000.0,Initial Coin Offering,20000000.0,,,2016.0,2018-02,20181Q,,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Blocknative,"Blockchain, Ethereum, UX Design","San Francisco, California, United States",2000000.0,Venture - Series Unknown,2000000.0,,2.0,2018.0,2018-06,20182Q,Adam Krongold, Foundry Group,,,,San Francisco Bay Area, West Coast, Western US
Zeux,"Blockchain, Financial Services, FinTech","London, England, United Kingdom",705528.0,Angel,705528.0,Seed,,2017.0,2018-02,20181Q,,,,,,European Union (EU),,
Solgari,"Cloud Computing, Compliance, FinTech, Software, Unified Communications","Dublin, Dublin, Ireland",5499447.0,Venture - Series Unknown,5499447.0,,2.0,2012.0,2018-01,20181Q,Enterprise Ireland, Focus Capital Partners,,,,European Union (EU),,
Optherium,"Banking, Blockchain, Enterprise Software, Financial Services, IT Infrastructure","Zug, Zug, Switzerland",3000000.0,Seed,3000000.0,Seed,1.0,2017.0,2018-03,20181Q,Serge Beck,,,,,,,
MatchX,"Blockchain, Hardware, Information Technology, Software","Berlin, Berlin, Germany",2000000.0,Series A,2000000.0,Early Stage Venture,,2016.0,2018-02,20181Q,,,,,,European Union (EU),,
Ginco,"Blockchain, Cryptocurrency","Tokyo, Tokyo, Japan",1368264.0,Seed,1368264.0,Seed,1.0,2017.0,2018-02,20181Q,Global Brain Corporation,,,,,Asia-Pacific (APAC),,
"Group 1 Engineering ""G1E.co""","Blockchain, Real Estate, Real Estate Investment","Manhattan, New York, United States",17000000.0,Initial Coin Offering,17000000.0,,,2017.0,2018-01,20181Q,,,,,,Greater New York Area, East Coast, Northeastern US
"Teal Communications, Inc.","Information Technology, Internet of Things, Marketplace, Mobile, Network Security, Private Social Networking, Software, Telecommunications","Bellevue, Washington, United States",1000000.0,Seed,1000000.0,Seed,1.0,2018.0,2018-06,20182Q,StagedotO,,,,,Greater Seattle Area, West Coast, Western US
Proxeus,"Blockchain, Internet, Software","Vaduz, Vaduz, Liechtenstein",25000000.0,Initial Coin Offering,25000000.0,,,2016.0,2018-02,20181Q,,,,,,,,
Pipl,"Big Data, Business Intelligence, Fraud Detection, Identity Management, Search Engine","Post Falls, Idaho, United States",19000000.0,Private Equity,19000000.0,Private Equity,1.0,2005.0,2018-01,20181Q,Israel Growth Partners,,,,,Western US,,
Shakepay,"Bitcoin, Cryptocurrency, FinTech, Payments","Montréal, Quebec, Canada",786486.0,Seed,786486.0,Seed,2.0,2015.0,2018-02,20181Q,Boost VC, Creative Destruction Lab,,,,,,
CloudRail,"Cloud Computing, Cloud Data Services, Cyber Security, Developer APIs, Internet of Things, Privacy, Software","Mannheim, Baden-Wurttemberg, Germany",672708.0,Seed,672708.0,Seed,4.0,2013.0,2018-02,20181Q,BWM GmbH, Leonardo Venture, Rheinland-Pfalz Fonds, Ulrich Turck Family Office,,European Union (EU),,
jenID Solutions,"Compliance, FinTech, Identity Management, Information Technology, Internet, Security, Software","Jena, Thuringen, Germany",1253186.0,Series A,1253186.0,Early Stage Venture,1.0,2014.0,2018-02,20181Q,bm-t beteiligungsmanagement thüringen,,,,,European Union (EU),,
Goopal Group,"Blockchain, Information Technology, Innovation Management","Beijing, Beijing, China",12000000.0,Series A,12000000.0,Early Stage Venture,2.0,2016.0,2018-06,20182Q,Legend Capital, SIG China (SIG Asia Investments),,,,Asia-Pacific (APAC),,
Elistair,"Drones, Law Enforcement, Public Safety, Robotics, Security","Champagne-au-mont-d'or, Rhone-Alpes, France",2453358.0,Series A,2453358.0,Early Stage Venture,2.0,2014.0,2018-01,20181Q,EASME - EU Executive Agency for SMEs, Starquest Capital,,,,European Union (EU),,
Manna Robotics,"Blockchain, Delivery, Drones, Robotics","San Francisco, California, United States",400000.0,Seed,400000.0,Seed,,2014.0,2018-06,20182Q,,,,,,San Francisco Bay Area, West Coast, Western US
Damstra Technology,"Compliance, Hardware, Human Resources, Software","Singleton, New South Wales, Australia",10000000.0,Series A,10000000.0,Early Stage Venture,1.0,1998.0,2018-05,20182Q,Alium Capital,,,,,Asia-Pacific (APAC), Australasia,
Rhebo,"Cyber Security, Information Technology, Infrastructure","Leipzig, Sachsen, Germany",1227897.0,Series B,1227897.0,Early Stage Venture,3.0,2014.0,2018-04,20182Q,eCAPITAL entrepreneurial Partners AG, SpinLab - The HHL Accelerator, TGFS - Technologiegruenderfonds Sachsen,,,European Union (EU),,
High Performance Blockchain,"Bitcoin, Blockchain, Cryptocurrency","Shanghai, Shanghai, China",20000000.0,Series A,20000000.0,Early Stage Venture,7.0,2017.0,2018-06,20182Q,8btc.com, BlockWater Management, Jike Xueyuan, Karnika Yashwant, OKCoin,Asia-Pacific (APAC),,
SeriesX,"Internet, Security, Service Industry","Austin, Texas, United States",1999650.0,Seed,1999650.0,Seed,9.0,2017.0,2018-06,20182Q,11-11 Ventures, Array Ventures, Capital Factory, Next Coast Ventures, Shasta Ventures,Southern US,,
N-Frnds (nFrnds),"Apps, Banking, Blockchain, Emerging Markets, Fast-Moving Consumer Goods, FinTech, Mobile Payments, SaaS, Supply Chain Management","Singapore, Central Region, Singapore",400000.0,Grant,1000000.0,,3.0,2014.0,2018-02,20181Q,Mastercard Start Path, Microsoft, United States Agency for International Development,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Globatalent,"Blockchain, Digital Entertainment, eSports, Finance, Sports","London, England, United Kingdom",1200000.0,Seed,1200000.0,Seed,,2017.0,2018-05,20182Q,,,,,,European Union (EU),,
IOTech,"Architecture, Information Technology, Network Security, Security","Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",2500000.0,Seed,2500000.0,Seed,2.0,,2018-06,20182Q,Dell Technologies Capital, Innovate UK,,,,European Union (EU),,
BitGuild,"Blockchain, Cryptocurrency, Gaming, Internet","Hong Kong, Hong Kong Island, Hong Kong",20000000.0,Initial Coin Offering,20000000.0,,,2017.0,2018-03,20181Q,,,,,,Asia-Pacific (APAC),,
Portion,"Art, Auctions, Blockchain, E-Commerce, Internet, Online Auctions","New York, New York, United States",1100000.0,Pre-Seed,1100000.0,Seed,,2016.0,2018-04,20182Q,,,,,,Greater New York Area, East Coast, Northeastern US
Mindzilla,"Artificial Intelligence, Big Data, Blockchain, Business Intelligence, Data Mining, Knowledge Management","London, England, United Kingdom",146055.0,Grant,1400000.0,,,2018.0,2018-06,20182Q,,,,,,European Union (EU),,
ResponSight,"Analytics, Cyber Security, Intelligent Systems, Network Security, Risk Management, Security","Melbourne, Victoria, Australia",2000000.0,Seed,2000000.0,Seed,6.0,2015.0,2018-05,20182Q,Artesian VC, Black Sheep Capital, BlueChilli, Carthona Capital, James McKinnon,Asia-Pacific (APAC), Australasia,
Koin Rewards,"Blockchain, E-Commerce, Financial Services, FinTech, Loyalty Programs, Retail Technology, Sustainability","London, England, United Kingdom",467317.0,Undisclosed,467317.0,,2.0,2017.0,2018-06,20182Q,Curt Hopkins, Nigel Wray,,,,European Union (EU),,
Queen of Raw,"Blockchain, E-Commerce, Fashion, Information Technology, Machine Learning, Retail, SaaS, Software, Sustainability","New York, New York, United States",100000.0,Convertible Note,,,3.0,2014.0,2018-01,20181Q,Right Side Capital Management, Techstars, Techstars Anywhere Accelerator,,,Greater New York Area, East Coast, Northeastern US
Alpha,"B2B, Bitcoin, Blockchain, Cryptocurrency, E-Commerce, FinTech","Menlo Park, California, United States",1400000.0,Seed,1400000.0,Seed,2.0,2018.0,2018-01,20181Q,Streamlined Ventures, Vulcan,,,,San Francisco Bay Area, Silicon Valley, West Coast
Synadia Communications,"Computer, Mobile Apps, Network Security, SaaS, Software","Los Angeles, California, United States",1250000.0,Seed,1250000.0,Seed,2.0,2018.0,2018-02,20181Q,Bold Capital Partners, Derek Collison,,,,Greater Los Angeles Area, West Coast, Western US
Wawllet Enterprises Limited,"Cryptocurrency, Finance, Financial Services","Strovolos, Nicosia, Cyprus",35000000.0,Initial Coin Offering,35000000.0,,,2016.0,2018-01,20181Q,,,,,,European Union (EU),,
ProcessBolt,"Cyber Security, Risk Management, Supply Chain Management","Minneapolis, Minnesota, United States",470000.0,Pre-Seed,470000.0,Seed,5.0,2017.0,2018-05,20182Q,Harold DeJager, Matchstick Ventures, Neil Falcone, Seth Peter, Techstars,Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US
TrackOFF,"Personalization, Privacy, Security, Software","Baltimore, Maryland, United States",999998.0,Venture - Series Unknown,999998.0,,2.0,2015.0,2018-06,20182Q,Blu Venture Investors, TEDCO,,,,Greater Baltimore-Maryland Area, East Coast, Southern US
Know Labs,"Health Diagnostics, Homeland Security, Security","Seattle, Washington, United States",138000.0,Post-IPO Equity,138000.0,IPO,5.0,1998.0,2018-05,20182Q,Ascendiant Capital Partners, Coventry Capital, Gemini Investors, Special Situations Funds, Sumitomo Ventures,Greater Seattle Area, West Coast, Western US
Nexus Mutual,"Blockchain, Financial Services, Insurance","London, England, United Kingdom",259216.0,Seed,259216.0,Seed,1.0,2017.0,2018-04,20182Q,KR1,,,,,European Union (EU),,
BotChain,"Artificial Intelligence, Blockchain, Software","Boston, Massachusetts, United States",5000000.0,Venture - Series Unknown,5000000.0,,3.0,,2018-05,20182Q,Avalon Ventures, Galaxy Digital LP, Glasswing Ventures,,,Greater Boston Area, East Coast, New England
Covee Network,"Blockchain, Freelance, Outsourcing, Virtual Assistant","Zürich, Zurich, Switzerland",1618811.0,Seed,1618811.0,Seed,2.0,2018.0,2018-05,20182Q,Atlantic Labs, LocalGlobe,,,,,,
BitoEX,"Bitcoin, E-Commerce, Finance, Payments, Virtual Currency","Taiwan, Jiangsu, China",10000000.0,Initial Coin Offering,10000000.0,,,2014.0,2018-05,20182Q,,,,,,Asia-Pacific (APAC),,
Luminate Security,"Cloud Security, Cyber Security, Network Security, Software","Palo Alto, California, United States",11000000.0,Series A,11000000.0,M&A,2.0,2017.0,2018-03,20181Q,Aleph, U.S. Venture Partners (USVP),,,,San Francisco Bay Area, Silicon Valley, West Coast
XCloud Networks,"Data Center Automation, Innovation Management, Network Security, SaaS","Santa Clara, California, United States",560000.0,Seed,560000.0,Seed,6.0,2016.0,2018-01,20181Q,Granatus Ventures, HI Cisco, Hrachya Aghajanyan, Nucleus Investments, SmartGateVC,San Francisco Bay Area, Silicon Valley, West Coast
SpeakIn,"Artificial Intelligence, Audio, Cyber Security, Internet, Robotics","Shenzhen, Guangdong, China",15627480.0,Series B,15627480.0,Early Stage Venture,4.0,2015.0,2018-05,20182Q,Fuyu (Shanghai) Investment Management, Hongzhi Capital, IDG Capital, Origins Capital,,Asia-Pacific (APAC),,
Vice Industry Token,"Adult, Blockchain, Cryptocurrency, Media and Entertainment","Ottawa, Ontario, Canada",22000000.0,Initial Coin Offering,22000000.0,,,2017.0,2018-02,20181Q,,,,,,Great Lakes,,
Aximetria,"Banking, Bitcoin, Blockchain, Financial Services, FinTech, Payments","Zug, Zug, Switzerland",2000000.0,Seed,2000000.0,Seed,1.0,2018.0,2018-03,20181Q,Digital Horizon,,,,,,,
Blue Sentry,"Cloud Computing, Cyber Security, SaaS","Greensboro, North Carolina, United States",258767.0,Debt Financing,300000.0,Seed,1.0,2014.0,2018-06,20182Q,Lighter Capital,,,,,East Coast, Southern US,
Cyberbit,"Cyber Security, Information Technology, Network Security","Ra'anana, HaMerkaz, Israel",30000000.0,Venture - Series Unknown,30000000.0,M&A,1.0,2015.0,2018-06,20182Q,Claridge Israel,,,,,,,
Colu,"Bitcoin, Blockchain, Cryptocurrency, Developer APIs, FinTech, Local Business, Local Shopping, Payments, Virtual Currency","Tel Aviv, Tel Aviv, Israel",19000000.0,Initial Coin Offering,19000000.0,,5.0,2014.0,2018-02,20181Q,Aleph, BoxGroup, Digital Currency Group, IDB Group, Spark Capital,,,
Millennium Blockchain,"Blockchain, Financial Services, Health Care, Information Technology","Las Vegas, Nevada, United States",5000000.0,Venture - Series Unknown,5000000.0,,,,2018-04,20182Q,,,,,,Western US,,
Liquidity Network,"Blockchain, Ethereum","Zürich, Zurich, Switzerland",8000000.0,Undisclosed,8000000.0,,4.0,2017.0,2018-03,20181Q,DHVC, Youbi Capital, zk Capital, ZMT Capital,,,,
Tradeline,"Blockchain, Information Technology, Shipping, Software","Limassol, Limassol, Cyprus",1108195.0,Seed,1108195.0,Seed,,2017.0,2018-04,20182Q,,,,,,European Union (EU),,
Coinvest Labs,"Bitcoin, Blockchain, Cryptocurrency, Ethereum","Las Vegas, Nevada, United States",1070000.0,Seed,1070000.0,Seed,1.0,2017.0,2018-06,20182Q,James Sowers,,,,,Western US,,
Untethered Labs,"Cyber Security, Identity Management, Information Technology, Security, Software, Wireless","College Park, Maryland, United States",483372.0,Series A,483372.0,Early Stage Venture,2.0,2015.0,2018-06,20182Q,Jumpstart New Jersey Angel Network, TEDCO,,,,Washington DC Metro Area, East Coast, Southern US
Incident Response Technologies,"Infrastructure, Public Safety, Security","Greenwood Village, Colorado, United States",1200000.0,Seed,1200000.0,Seed,4.0,,2018-01,20181Q,Innosphere, Innosphere Fund, Lighter Capital, Stout Street Capital,,Greater Denver Area, Western US,
"iChain, Inc.","Artificial Intelligence, Blockchain, Insurance, InsurTech, Internet of Things","Tokyo, Tokyo, Japan",460000.0,Seed,460000.0,Seed,4.0,2016.0,2018-03,20181Q,Consensus Base Inc., Garcia & Company, IBC Co.,Ltd, Yasunari Goto,Asia-Pacific (APAC),,
USDX Wallet,"Cryptocurrency, Finance, Payments","Frankfurt, Hessen, Germany",1500000.0,Series A,1500000.0,Early Stage Venture,1.0,2017.0,2018-05,20182Q,Andrey Peshkov,,,,,European Union (EU),,
Forticode,"Information Technology, Network Security, Security","Melbourne, Victoria, Australia",1300000.0,Venture - Series Unknown,1300000.0,,1.0,2013.0,2018-03,20181Q,Pronto Software,,,,,Asia-Pacific (APAC), Australasia,
DSTOQ,"Blockchain, Finance, Financial Exchanges, Financial Services, FinTech, Mobile Apps, Stock Exchanges, Trading Platform","Vaduz, Vaduz, Liechtenstein",2126839.0,Pre-Seed,2126839.0,Seed,,2018.0,2018-02,20181Q,,,,,,,,
inBay Technologies,"Computer, Information Technology, Internet, Network Security","Ottawa, Ontario, Canada",1000000.0,Seed,1000000.0,Seed,3.0,2009.0,2018-02,20181Q,Global Alliance, Ramphastos Investments N.V., Tongda One Partners,,,Great Lakes,,
GiveDirectly,"Charity, Cryptocurrency, Non Profit","New York, New York, United States",1000000.0,Grant,,,1.0,2008.0,2018-03,20181Q,OmiseGO,,,,,Greater New York Area, East Coast, Northeastern US
